10000 4 0
580      2645	1577	1274	2485
581      2545	2378	1409	54
582      2621	377	376	2452
583      1494	2379	169	2188
584      2594	2495	2509	2557
585      2428	17	2159	2354
586      251	1411	1988	250
587      1476	136	50	2218
588      487	1112	2339	2284
589      893	891	892	1861
590      1393	2113	364	2111
591      837	494	1653	2405
592      2288	2490	2245	2002
593      2520	2195	2519	437
594      2131	2719	2198	2133
595      259	260	258	2640
596      2455	172	2274	2009
597      2401	353	2661	1324
598      2384	2138	1148	1081
599      215	287	405	2553
600      2037	991	2576	992
601      127	810	811	2326
602      2214	2215	2210	2556
603      2292	2501	648	2070
604      1106	2169	160	1421
605      1314	2115	2352	1259
606      2541	2213	1171	1172
607      738	1947	1155	1391
608      680	678	679	1999
609      562	2448	2626	2278
610      2171	2170	2053	2388
611      1523	1037	1791	1036
612      2006	2362	576	577
613      853	2365	2456	2711
614      2707	2039	2363	2551
615      1844	2155	203	2411
616      2173	2526	2723	2312
617      352	1553	2588	868
618      2498	658	912	2346
619      2521	564	642	1476
620      2681	1632	1008	883
621      2292	653	652	648
622      1502	2294	1206	956
623      2685	1332	1370	611
624      170	2342	2341	2225
625      2092	1160	2192	2657
626      2485	1274	2222	192
627      1291	934	2623	2175
628      772	1993	2355	2357
629      681	683	2062	682
630      825	1231	1230	1232
631      343	341	342	2044
632      2698	2555	2554	703
633      2571	1754	2014	1505
634      2043	1998	668	2044
635      2696	2697	1587	2135
636      1510	2621	1509	2201
637      1550	1922	1927	607
638      1758	1130	396	461
639      2690	2616	388	2424
640      2211	2107	2230	2106
641      2628	933	2704	1133
642      1910	1715	361	2563
643      2174	2175	2581	2300
644      2506	808	2168	2668
645      610	543	1387	407
646      568	566	567	80
647      851	215	405	2553
648      755	2010	895	2151
649      2143	2103	1269	2068
650      1299	2003	1574	1300
651      196	1843	1469	723
652      2337	482	483	2481
653      2127	1565	1149	1324
654      2498	912	1984	540
655      1992	778	779	1295
656      2402	2223	333	2084
657      561	2448	2532	2626
658      2010	2151	2150	2008
659      571	1930	196	1843
660      2547	1548	1941	2643
661      1173	33	30	2662
662      1573	2649	1854	1560
663      219	2157	1715	1910
664      2234	2034	2244	2027
665      147	2524	2523	1678
666      352	1552	2401	2535
667      109	108	680	2267
668      158	1455	1699	2585
669      363	132	2011	364
670      604	1705	1271	1130
671      2062	2562	2568	2647
672      1113	1774	2385	980
673      2675	2218	2217	2522
674      63		961	1544	21
675      2253	2419	2634	2513
676      1297	1359	2734	1453
677      1296	1992	1881	1991
678      2476	1998	669	2629
679      2492	1865	1849	2097
680      610	1387	1621	407
681      2640	260	1536	259
682      1410	2215	2408	2233
683      2301	2650	2514	2620
684      1048	190	2082	2222
685      1966	2086	1198	802
686      838	14	26	2248
687      1078	2216	1080	891
688      2508	2507	349	1312
689      558	2465	1113	1774
690      2595	2468	671	1499
691      1153	936	1154	2644
